Offset;Input Attributes: Layout 7 (Per vertex).TEXCOORD3[0];Input Attributes: Layout 7 (Per vertex).TEXCOORD3[1]
6704;0.04319239;0.955354
6712;0.04315579;0.9558363
6720;0.04274654;0.9555985
6728;0.0427947;0.9560671
6736;0.04234064;0.9558076
6744;0.04240239;0.9562516
6752;0.04483616;0.9551984
6760;0.0445869;0.9550705
6768;0.04433548;0.9549057
6776;0.04411483;0.9546893
6784;0.04508078;0.9553083
6792;0.04529572;0.9554112
6800;0.04549956;0.9555041
6808;0.04569149;0.9556078
6816;0.0458554;0.9557267
6824;0.04607964;0.9557361
6832;0.04450917;0.9543663
6840;0.04466915;0.954604
6848;0.0448705;0.9547915
6856;0.04395092;0.9543664
6864;0.04497099;0.9543573
6872;0.04509866;0.9549534
6880;0.04355121;0.9546383
6888;0.04514027;0.9545516
6896;0.04530025;0.9550751
6904;0.04310775;0.9548899
6912;0.04532754;0.9547409
6920;0.04548538;0.95521
6928;0.0455097;0.9549057
6936;0.04565573;0.9553436
6944;0.04565835;0.9550574
6952;0.04580474;0.95547
6960;0.04580104;0.9552031
6968;0.04594445;0.9555981
6976;0.04591417;0.9553388
6984;0.04551339;0.9545746
6992;0.04567778;0.9547559
7000;0.04582179;0.9549028
7008;0.04589367;0.9550982
7016;0.04598081;0.9552652
7024;0.04602623;0.955484
7032;0.04614347;0.9556289
7040;0.04533684;0.9543663
7048;0.04623425;0.9557312
7056;0.04519272;0.954163
7064;0.0463385;0.9558471
7072;0.04481781;0.9541377
7080;0.04645276;0.9559825
7088;0.04437888;0.9540875
7096;0.04656595;0.9560989
7104;0.04385269;0.9540051
7112;0.04667199;0.9561861
7120;0.04345036;0.9542699
7128;0.04680681;0.956257
7136;0.04694855;0.9562889
7144;0.04709023;0.9564375
7152;0.0472275;0.9563621
7160;0.04709023;0.956257
7168;0.04694855;0.9561106
7176;0.04681134;0.9560809
7184;0.04734963;0.9562599
7192;0.04722512;0.9561861
7200;0.0470857;0.9560809
7208;0.04746461;0.9561412
7216;0.04733109;0.9560989
7224;0.0475812;0.9559979
7232;0.04667872;0.9560123
7240;0.04694855;0.9559231
7248;0.04721838;0.9560123
7256;0.04744434;0.9559825
7264;0.04657298;0.9559369
7272;0.04681373;0.9559003
7280;0.04708338;0.9559003
7288;0.04732418;0.9559369
7296;0.04646289;0.9558339
7304;0.04667872;0.9558386
7312;0.04694855;0.9557197
7320;0.04721838;0.9558386
7328;0.0465737;0.9557645
7336;0.04635262;0.955725
7344;0.04681373;0.9557037
7352;0.04708338;0.9557037
7360;0.04647088;0.9556852
7368;0.0462746;0.9556455
7376;0.04636055;0.9555985
7384;0.04619002;0.9555571
7392;0.04622304;0.9554725
