Offset;Input Attributes: Layout 3 (Per vertex).POSITION0[0];Input Attributes: Layout 3 (Per vertex).POSITION0[1];Input Attributes: Layout 3 (Per vertex).POSITION0[2];Input Attributes: Layout 3 (Per vertex).NORMAL0[0];Input Attributes: Layout 3 (Per vertex).NORMAL0[1];Input Attributes: Layout 3 (Per vertex).NORMAL0[2];Input Attributes: Layout 3 (Per vertex).TANGENT0[0];Input Attributes: Layout 3 (Per vertex).TANGENT0[1];Input Attributes: Layout 3 (Per vertex).TANGENT0[2];Input Attributes: Layout 3 (Per vertex).TANGENT0[3]
3760;-0.5492899;0.07620868;0.005053915;-0.5304091;-0.7970411;-0.2885;-0.4248622;0.5444734;-0.7231001;-1
3800;-0.5471765;0.07496372;0.004916799;-0.5072543;-0.8113057;-0.2903419;-0.3482155;0.5011668;-0.7921001;-1
3840;-0.5507418;0.07613228;0.008400396;-0.6541733;-0.683015;-0.3236386;-0.4374113;0.6910473;-0.5751311;-1
3880;-0.5510096;0.07690613;0.00702705;-0.6880493;-0.6723565;-0.2716556;-0.4375378;0.6834454;-0.5840678;-1
3920;-0.5520905;0.07816952;0.00751766;-0.9096505;-0.3951985;-0.126072;-0.3029031;0.8402439;-0.4493605;-1
3960;-0.5522409;0.07962246;0.008071539;-0.9911618;0.07604739;0.1086963;0.02223812;0.9030279;-0.4290058;-1
4000;-0.5511855;0.07755274;0.005536147;-0.7282608;-0.6497958;-0.2173202;-0.4614972;0.69958;-0.5453104;-1
4040;-0.5522705;0.07902305;0.005927102;-0.944469;-0.3177816;-0.0832715;-0.2481673;0.8562705;-0.4527924;-1
4080;-0.552304;0.08064681;0.00638973;-0.9795318;0.1683867;0.1100891;0.1070894;0.8994685;-0.4234593;-1
4120;-0.5491443;0.07704355;0.002467859;-0.5277485;-0.8265095;-0.1953842;-0.4452442;0.4651332;-0.7650187;-1
4160;-0.5469655;0.07567935;0.002454921;-0.5188227;-0.8283761;-0.2107305;-0.3790456;0.443904;-0.8118564;-1
4200;-0.5512655;0.07803442;0.003915423;-0.7283968;-0.6589828;-0.1872394;-0.459272;0.6725056;-0.5802138;-1
4240;-0.5523666;0.07973146;0.004086731;-0.9640371;-0.2532439;-0.08032922;-0.1878837;0.8636194;-0.4677144;-1
4280;-0.5522539;0.08163151;0.004464382;-0.9656339;0.2540345;0.05493316;0.2098286;0.8866925;-0.4120056;-1
4320;-0.5490713;0.07738279;8.698553e-07;-0.5279219;-0.8492212;-0.003076893;-0.5089068;0.3192557;-0.7993738;-1
4360;-0.5468619;0.07602936;1.404015e-05;-0.5214952;-0.8529922;-0.00201807;-0.4674841;0.2877996;-0.8357049;-1
4400;-0.5512072;0.07841957;0.00220496;-0.7045267;-0.6947733;-0.1441914;-0.462215;0.6035152;-0.6495898;-1
4440;-0.5509835;0.07857969;6.423797e-07;-0.6842389;-0.7292264;-0.00245903;-0.5528367;0.5209244;-0.6503527;-1
4480;-0.5522658;0.08016171;0.002112772;-0.9670889;-0.2295951;-0.1092;-0.1432194;0.846787;-0.5121195;-1
4520;-0.552104;0.08212997;0.002286839;-0.9610552;0.2729215;-0.04276095;0.2626337;0.8545602;-0.4478866;-1
4560;-0.5519791;0.08027683;7.373514e-06;-0.9699216;-0.2432545;-0.001115441;-0.2116174;0.845843;-0.4895319;-1
4600;-0.5517934;0.08216693;1.216639e-05;-0.9650451;0.262084;-9.714639e-05;0.2350718;0.8654168;-0.4424875;-1
4640;-0.5528619;0.0795397;-0.002173566;0.6421566;-0.7665573;0.0009547749;-0.2076703;-0.1751792;-0.9623718;-1
4680;-0.552726;0.07942797;1.090666e-05;0.6239119;-0.7814888;-0.000727091;-0.18701;-0.1484041;-0.9710778;-1
4720;-0.5540609;0.078895;1.233084e-05;0.3276629;-0.944531;-0.001317322;-0.2068757;-0.0701987;-0.9757877;-1
4760;-0.5540696;0.07887658;-0.002202314;0.3455386;-0.9364727;0.05223932;-0.1896679;-0.1246063;-0.9737366;-1
4800;-0.5552666;0.07865408;1.243397e-05;0.07587945;-0.9971086;-0.0001629288;-0.2175415;-0.01639916;-0.9758924;-1
4840;-0.5529171;0.07927324;-0.004288602;0.6572517;-0.736442;0.1601944;-0.1336803;-0.3231032;-0.9368674;-1
4880;-0.5552663;0.07858191;-0.00220028;0.07591877;-0.9948292;0.06732534;-0.2256844;-0.08292258;-0.970641;-1
